Nombre;Latitud;Longitud;Municipio;Departamento;Provincia
ALFARCITO;-23,5871507;-65,36320738;TILCARA;TILCARA;JUJUY
PUNTA CORRAL;-23,70687103;-65,38284302;TILCARA;TILCARA;JUJUY
EL PERCHEL;-23,49314;-65,36696;TILCARA;TILCARA;JUJUY
HUICHAIRA;-23,57679536;-65,43257601;TILCARA;TILCARA;JUJUY
ABRA MAYO;-23,77525242;-65,29804781;TILCARA;TILCARA;JUJUY
JUELLA;-23,50253872;-65,43189621;TILCARA;TILCARA;JUJUY
DURAZNOS;-23,61365;-65,21369;TILCARA;TILCARA;JUJUY
YAQUISPAMPA;-23,73653;-65,2517;TILCARA;TILCARA;JUJUY
YALA DE MONTE CARMELO;-23,43643226;-65,18467502;TILCARA;TILCARA;JUJUY
MOLULO;-23,56564;-65,15918;TILCARA;TILCARA;JUJUY
LA BANDA;-23,53926;-65,38635;TILCARA;TILCARA;JUJUY
TASTAS;-23,69168282;-65,44117737;MAIMARA;TILCARA;JUJUY
HORNILLOS;-23,64748045;-65,42677649;MAIMARA;TILCARA;JUJUY
BELLA VISTA;-23,65798378;-65,41963196;MAIMARA;TILCARA;JUJUY
MAIMARA;-23,62081302;-65,40786004;MAIMARA;TILCARA;JUJUY
CARCEL;-23,81740761;-65,53327179;TUMBAYA;TUMBAYA;JUJUY
PUNTA CORRAL;-23,71728325;-65,3873291;TUMBAYA;TUMBAYA;JUJUY
COIRURO;-23,88771629;-65,45774078;TUMBAYA;TUMBAYA;JUJUY
AGUA BENDITA;-23,83205605;-65,47557831;TUMBAYA;TUMBAYA;JUJUY
TUMBAYA;-23,85230341;-65,46725467;TUMBAYA;TUMBAYA;JUJUY
TUMBAYA GRANDE;-23,83077;-65,48998;TUMBAYA;TUMBAYA;JUJUY
SANTA ROSA;-23,76438522;-65,46977234;PURMAMARCA;TUMBAYA;JUJUY
MOLLE PUNCO;-23,79555512;-65,46982575;PURMAMARCA;TUMBAYA;JUJUY
POZO BRAVO;-23,94223404;-65,78366089;PURMAMARCA;TUMBAYA;JUJUY
PUERTA DE LIPAN;-23,66819;-65,57362;PURMAMARCA;TUMBAYA;JUJUY
SALADILLO;-23,65840912;-65,7603302;PURMAMARCA;TUMBAYA;JUJUY
COLORADOS;-23,57138;-65,69731;PURMAMARCA;TUMBAYA;JUJUY
CIENAGA;-23,70055491;-65,54282981;PURMAMARCA;TUMBAYA;JUJUY
PUERTA DE COLORADOS;-23,56138911;-65,69123063;PURMAMARCA;TUMBAYA;JUJUY
SAN JUAN DE POZO COLORA;-23,55268;-65,81894;PURMAMARCA;TUMBAYA;JUJUY
AGUADITA;-23,78070068;-65,96193695;PURMAMARCA;TUMBAYA;JUJUY
CIENAGA GRANDE;-23,89363289;-65,9972229;PURMAMARCA;TUMBAYA;JUJUY
PURMAMARCA;-23,74099806;-65,50524123;PURMAMARCA;TUMBAYA;JUJUY
TRES MORROS;-23,70840645;-65,83719635;PURMAMARCA;TUMBAYA;JUJUY
PIEDRAS BLANCAS;-23,97947693;-65,80553436;PURMAMARCA;TUMBAYA;JUJUY
TUNALITO;-23,72343;-65,46272;PURMAMARCA;TUMBAYA;JUJUY
EL MORENO;-23,84185833;-65,83000875;PURMAMARCA;TUMBAYA;JUJUY
POZO COLORADO;-23,56820107;-65,83825684;PURMAMARCA;TUMBAYA;JUJUY
ESTANCIA GRANDE;-23,60770989;-65,52734375;PURMAMARCA;TUMBAYA;JUJUY
SAN BERNARDO;-23,8409709;-65,29808427;VOLCAN;TUMBAYA;JUJUY
VOLCAN;-23,91387268;-65,46309868;VOLCAN;TUMBAYA;JUJUY
BARCENA;-23,96947419;-65,44647765;VOLCAN;TUMBAYA;JUJUY
CHILCAYOC;-23,93888;-65,47229;VOLCAN;TUMBAYA;JUJUY
CASPALA;-23,35723629;-65,11839974;CASPALA;VALLE GRANDE;JUJUY
SAN FRANCISCO;-23,61746641;-64,95486123;SAN FRANCISCO;VALLE GRANDE;JUJUY
ALTO CALILEGUA;-23,56311433;-64,89713769;SAN FRANCISCO;VALLE GRANDE;JUJUY
SAN LUCAS;-23,61138;-65,04423;PAMPICHUELA;VALLE GRANDE;JUJUY
PAMPICHUELA;-23,55440938;-65,05280726;PAMPICHUELA;VALLE GRANDE;JUJUY
SANTA BARBARA;-23,6231;-65,00498;PAMPICHUELA;VALLE GRANDE;JUJUY
TORO MUERTO;-23,31186104;-64,95002747;SANTA ANA;VALLE GRANDE;JUJUY
VALLE COLORADO;-23,45701032;-64,94374405;SANTA ANA;VALLE GRANDE;JUJUY
SANTA ANA;-23,35766131;-64,98792324;SANTA ANA;VALLE GRANDE;JUJUY
JURANCO;-23,51858521;-64,88985443;VALLE GRANDE;VALLE GRANDE;JUJUY
TIPAL;-23,46896744;-64,97164917;VALLE GRANDE;VALLE GRANDE;JUJUY
VALLE GRANDE;-23,47554025;-64,94700015;VALLE GRANDE;VALLE GRANDE;JUJUY
EL CONDOR;-22,38345124;-65,32790484;EL CONDOR;YAVI;JUJUY
ESCOBAR;-22,37112618;-65,33046722;EL CONDOR;YAVI;JUJUY
LLULLUCHAYOC;-22,51521695;-65,37029375;EL CONDOR;YAVI;JUJUY
CORRAL BLANCO;-22,47772811;-65,36965348;EL CONDOR;YAVI;JUJUY
OVEJERIA;-22,22798157;-65,40175629;YAVI;YAVI;JUJUY
SALADILLO;-22,12862396;-65,25769806;YAVI;YAVI;JUJUY
CHOLACOR;-22,32595523;-65,32365938;YAVI;YAVI;JUJUY
YAVI CHICO;-22,09099839;-65,46506312;YAVI;YAVI;JUJUY
SAN JOSE;-22,13782711;-65,30978862;YAVI;YAVI;JUJUY
CASTI;-22,16562;-65,44278;YAVI;YAVI;JUJUY
CHALCAMAYOC;-22,2959916;-65,3125521;YAVI;YAVI;JUJUY
QUIRQUINCHOS;-22,11016196;-65,36524209;YAVI;YAVI;JUJUY
LARCAS;-22,11147;-65,24882;YAVI;YAVI;JUJUY
BARRIOS;-22,24627796;-65,52787171;BARRIOS;YAVI;JUJUY
CERRO COLORADO;-22,19995;-65,54747;BARRIOS;YAVI;JUJUY
ESQUINA GRANDE;-22,22703362;-65,520401;BARRIOS;YAVI;JUJUY
CANGREJOS;-22,47203906;-65,55108858;CANGREJILLOS;YAVI;JUJUY
CANGREJILLOS;-22,42296131;-65,58012475;CANGREJILLOS;YAVI;JUJUY
LA CIENAGA;-22,12732;-65,70671;LA QUIACA;YAVI;JUJUY
SANSANA;-22,15888;-65,56203;LA QUIACA;YAVI;JUJUY
SANSANA NORTE;-22,1223179;-65,56784476;LA QUIACA;YAVI;JUJUY
PUEBLO VIEJO;-22,12757301;-65,70342255;LA QUIACA;YAVI;JUJUY
LA QUIACA;-22,10003099;-65,59626249;LA QUIACA;YAVI;JUJUY
TAFNA;-22,118673;-65,753255;LA QUIACA;YAVI;JUJUY
LA AGUADA;-22,23768997;-65,84925079;PUMAHUASI;YAVI;JUJUY
PIEDRA NEGRA;-22,22247;-65,65566;PUMAHUASI;YAVI;JUJUY
SOL DE MAYO;-22,3000679;-65,61216736;PUMAHUASI;YAVI;JUJUY
MINA BELGICA;-22,36982167;-65,6136817;PUMAHUASI;YAVI;JUJUY
RODEO;-22,29973387;-65,91978428;PUMAHUASI;YAVI;JUJUY
CERRILLOS;-22,29923248;-65,84161377;PUMAHUASI;YAVI;JUJUY
LA INTERMEDIA;-22,4224886;-65,70038509;PUMAHUASI;YAVI;JUJUY
CHOCOITE;-22,36939118;-65,75931727;PUMAHUASI;YAVI;JUJUY
PASAJES;-22,20181847;-65,94342041;PUMAHUASI;YAVI;JUJUY
ABRA COLORADA;-22,32981174;-65,82598231;PUMAHUASI;YAVI;JUJUY
PUMAHUASI;-22,28905798;-65,67867666;PUMAHUASI;YAVI;JUJUY
PULPERA;-22,36013603;-65,60148621;PUMAHUASI;YAVI;JUJUY
PUNTA DEL AGUA;-22,42388;-65,70009;PUMAHUASI;YAVI;JUJUY
